AVERAGE	TOTAL	PERCENT
1617.40		546343.36	0.296040917
1327.15		546343.36	0.242915713
1404.43		546343.36	0.25705972
1398.90		546343.36	0.25604691
1294.89		546343.36	0.237010258
1339.53		546343.36	0.245181632
1341.96		546343.36	0.245625225
1388.30		546343.36	0.254107885
1295.52		546343.36	0.237125365
1322.57		546343.36	0.242077013
1326.34		546343.36	0.242767283
1317.93		546343.36	0.241227278
1272.17		546343.36	0.232851318
1381.29		546343.36	0.252824245
1441.67		546343.36	0.263875394
1351.18		546343.36	0.247312797
1171.74		546343.36	0.214469641
1322.68		546343.36	0.242096171
1398.17		546343.36	0.255913851
1428.93		546343.36	0.261544593
1354.68		546343.36	0.24795449
1430.27		546343.36	0.261789903
1370.12		546343.36	0.250779377
1200.66		546343.36	0.219762203
1251.64		546343.36	0.229093372
1287.51		546343.36	0.235658581
1270.00		546343.36	0.232455032
1265.23		546343.36	0.231581612
1314.18		546343.36	0.240541646
1166.98		546343.36	0.213598091
1279.62		546343.36	0.234215536
1330.62		546343.36	0.243550923
1350.08		546343.36	0.247111252
1252.09		546343.36	0.229176396
1349.36		546343.36	0.246980989
1322.30		546343.36	0.242026741
1238.64		546343.36	0.226713797
1389.23		546343.36	0.254278029
1276.74		546343.36	0.233687643
1088.14		546343.36	0.19916856
1420.37		546343.36	0.259977278
1407.49		546343.36	0.257619316
1193.37		546343.36	0.218428501
1471.22		546343.36	0.269285662
1322.90		546343.36	0.242137845
1351.25		546343.36	0.247325624
1364.61		546343.36	0.249771051
1340.49		546343.36	0.245357386
1396.32		546343.36	0.255575734
1285.57		546343.36	0.235304447
1259.84		546343.36	0.230594676
1411.20		546343.36	0.258299349
1355.08		546343.36	0.248027444
1540.82		546343.36	0.282023558
1435.63		546343.36	0.262771021
1436.33		546343.36	0.262898617
1379.26		546343.36	0.25245304
1404.98		546343.36	0.257160598
1463.55		546343.36	0.26788163
1332.54		546343.36	0.243902384
1364.34		546343.36	0.249722013
1560.55		546343.36	0.285635915
1343.42		546343.36	0.245892291
1555.67		546343.36	0.28474171
1426.07		546343.36	0.26102107
1505.68		546343.36	0.275592681
1701.43		546343.36	0.311421327
1589.76		546343.36	0.290981125
1487.47		546343.36	0.272258987
1409.43		546343.36	0.25797581
1317.57		546343.36	0.24116234
1630.45		546343.36	0.298429477
1541.39		546343.36	0.282127885
1663.90		546343.36	0.304552946
1607.08		546343.36	0.294152767
1502.62		546343.36	0.275032663
1522.98		546343.36	0.278759267
1612.40		546343.36	0.295126449
1662.07		546343.36	0.304217186
1528.72		546343.36	0.279810077
1603.34		546343.36	0.293467435
1457.59		546343.36	0.266790346
1570.23		546343.36	0.287407613
1540.51		546343.36	0.281967795
1627.34		546343.36	0.297860488
1435.51		546343.36	0.262748962
1406.22		546343.36	0.257387314
1582.06		546343.36	0.289572742
1459.63		546343.36	0.267163367
1617.10		546343.36	0.295985845
1441.63		546343.36	0.263868886
1669.04		546343.36	0.305492279
1423.83		546343.36	0.260611433
1510.90		546343.36	0.276546957
1464.95		546343.36	0.268137868
1529.17		546343.36	0.279891662
1410.64		546343.36	0.258196893
1489.80		546343.36	0.272684999
1370.62		546343.36	0.250871908
1463.94		546343.36	0.267953252
1600.66		546343.36	0.292977658
1492.36		546343.36	0.273155075
1404.41		546343.36	0.257057036
1465.63		546343.36	0.268261881
1492.10		546343.36	0.273107106
1504.81		546343.36	0.275433247
1462.27		546343.36	0.267646883
1556.35		546343.36	0.284866459
1682.60		546343.36	0.307974048
1468.01		546343.36	0.268696617
1446.79		546343.36	0.26481327
1495.09		546343.36	0.273653218
1475.14		546343.36	0.270002371
1556.08		546343.36	0.284817899
1562.63		546343.36	0.286015305
1462.09		546343.36	0.267614081
1446.57		546343.36	0.264772333
1693.39		546343.36	0.309950006
1646.89		546343.36	0.301438382
1622.24		546343.36	0.296927612
1481.29		546343.36	0.271128691
1445.81		546343.36	0.264633331
1422.45		546343.36	0.260358642
1745.46		546343.36	0.319480492
1310.62		546343.36	0.239890186
1495.39		546343.36	0.273709522
1611.31		546343.36	0.294925354
1495.66		546343.36	0.273757974
1455.40		546343.36	0.266388969
1404.22		546343.36	0.257021466
1607.16		546343.36	0.294166479
1679.52		546343.36	0.30741145
1613.67		546343.36	0.295358398
1705.93		546343.36	0.312244365
1655.34		546343.36	0.302984417
1589.90		546343.36	0.291006702
1651.29		546343.36	0.302243243
1532.65		546343.36	0.28052789
1384.27		546343.36	0.253369497
1485.35		546343.36	0.271871188
1650.08		546343.36	0.302022854
1708.74		546343.36	0.31276007
1701.31		546343.36	0.311398836
1523.19		546343.36	0.278797559
1578.06		546343.36	0.288840075
1668.11		546343.36	0.30532229
1636.95		546343.36	0.299618935
1609.28		546343.36	0.294554961
1569.56		546343.36	0.287283951
1542.29		546343.36	0.282292917
1508.13		546343.36	0.27604092
1399.75		546343.36	0.256203866
1594.10		546343.36	0.291775581
1679.30		546343.36	0.307370123
1556.85		546343.36	0.284957308
1439.40		546343.36	0.26346121
1619.45		546343.36	0.296416465
1552.52		546343.36	0.284166142
1533.55		546343.36	0.280694203
1569.23		546343.36	0.287224044
1533.58		546343.36	0.280698882
1465.81		546343.36	0.268295481
1579.08		546343.36	0.289027939
1576.35		546343.36	0.288528213
1442.43		546343.36	0.264015866
1569.28		546343.36	0.28723296
1555.04		546343.36	0.284626951
1353.65		546343.36	0.247765015
1597.83		546343.36	0.292459162
1409.25		546343.36	0.257942018
1418.73		546343.36	0.259677729
1644.50		546343.36	0.301001322
1564.85		546343.36	0.286422954
1570.05		546343.36	0.287374544
1539.69		546343.36	0.281816779
1356.37		546343.36	0.248262572
1464.62		546343.36	0.268076298
1587.93		546343.36	0.290646326
1611.25		546343.36	0.294915684
1462.30		546343.36	0.26765226
1515.99		546343.36	0.277480128
1637.02		546343.36	0.299631826
1604.82		546343.36	0.293737871
1476.26		546343.36	0.270207663
1374.19		546343.36	0.251524555
1405.03		546343.36	0.257169938
1445.89		546343.36	0.264648094
1520.08		546343.36	0.278228225
1543.54		546343.36	0.282521309
1488.14		546343.36	0.272382607
1446.47		546343.36	0.264754985
1473.16		546343.36	0.26964086
1516.58		546343.36	0.277586464
1478.71		546343.36	0.270655771
1357.15		546343.36	0.248406731
1606.70		546343.36	0.294081698
1405.51		546343.36	0.257258288
1436.28		546343.36	0.262889211
1497.74		546343.36	0.274138594
1470.31		546343.36	0.26911748
1565.83		546343.36	0.286600931
1488.19		546343.36	0.272391771
1551.88		546343.36	0.284047854
1475.08		546343.36	0.269991161
1636.31		546343.36	0.299501572
1414.34		546343.36	0.258874261
1478.01		546343.36	0.270527153
1401.65		546343.36	0.256551723
1546.35		546343.36	0.283036741
1506.45		546343.36	0.275732623
1531.80		546343.36	0.280372777
1382.03		546343.36	0.252960473
1566.02		546343.36	0.2866369
1558.56		546343.36	0.285270709
1564.11		546343.36	0.286286794
1416.34		546343.36	0.259239807
1419.32		546343.36	0.259786031
1448.44		546343.36	0.265115654
1583.30		546343.36	0.289799228
1360.13		546343.36	0.248952072
1632.95		546343.36	0.298887998
1550.40		546343.36	0.283778288
1705.04		546343.36	0.312081811
1507.01		546343.36	0.27583618
1614.21		546343.36	0.29545732
1341.72		546343.36	0.245582397
1447.65		546343.36	0.264969829
1574.71		546343.36	0.288226412
1632.73		546343.36	0.298845957
1520.40		546343.36	0.278287176
1591.56		546343.36	0.291311786
1564.87		546343.36	0.286426637
1488.43		546343.36	0.272434884
1465.64		546343.36	0.268263288
1409.21		546343.36	0.257934685
1502.45		546343.36	0.275001644
1527.64		546343.36	0.279611447
1680.21		546343.36	0.307536968
1535.20		546343.36	0.280994787
1596.54		546343.36	0.292222011
1549.48		546343.36	0.283609308
1495.02		546343.36	0.273641961
1624.05		546343.36	0.297258166
1319.89		546343.36	0.241586465
1341.49		546343.36	0.245540148
1504.12		546343.36	0.275306338
1485.42		546343.36	0.271884621
1375.09		546343.36	0.251690617
1463.41		546343.36	0.267854917
1605.03		546343.36	0.293776644
1441.73		546343.36	0.263886821
1392.67		546343.36	0.254908083
1497.66		546343.36	0.274123778
1325.35		546343.36	0.242586067
1452.77		546343.36	0.265908718
1475.43		546343.36	0.270055897
1401.36		546343.36	0.256498693
1500.94		546343.36	0.274724415
1467.89		546343.36	0.268675241
1346.85		546343.36	0.24652024
1241.22		546343.36	0.227186057
1545.38		546343.36	0.282859105
1423.28		546343.36	0.260510552
1520.80		546343.36	0.278360102
1433.72		546343.36	0.262421147
1553.26		546343.36	0.28430186
1543.62		546343.36	0.282536917
1525.64		546343.36	0.279246442
1312.50		546343.36	0.24023338
1315.89		546343.36	0.240853339
1471.05		546343.36	0.269254577
1461.73		546343.36	0.267548693
1498.56		546343.36	0.274288903
1449.69		546343.36	0.265344074
1374.98		546343.36	0.251670272
1321.54		546343.36	0.241888885
1292.11		546343.36	0.236501507
1540.66		546343.36	0.281995291
1387.15		546343.36	0.253896986
1353.12		546343.36	0.247667828
1459.38		546343.36	0.267117468
1499.54		546343.36	0.27446785
1465.20		546343.36	0.268183023
1435.94		546343.36	0.262827964
1418.60		546343.36	0.259654458
1495.02		546343.36	0.273641553
1471.38		546343.36	0.269314383
1449.90		546343.36	0.265381981
1425.79		546343.36	0.260970435
1327.12		546343.36	0.242909907
1330.19		546343.36	0.243472275
1486.20		546343.36	0.272027118
1515.72		546343.36	0.277429465
1321.35		546343.36	0.241853547
1397.52		546343.36	0.255795843
1546.98		546343.36	0.28315199
1406.77		546343.36	0.257488954
1488.78		546343.36	0.27249887
1420.71		546343.36	0.260039184
1545.41		546343.36	0.282864948
1599.53		546343.36	0.292770048
1506.70		546343.36	0.275779318
1464.48		546343.36	0.268051374
1470.71		546343.36	0.26919138
1526.41		546343.36	0.279385764
1473.89		546343.36	0.26977364
1574.97		546343.36	0.288274806
1499.67		546343.36	0.274492207
1618.67		546343.36	0.296272676
1466.50		546343.36	0.268421393
1501.24		546343.36	0.274779176
1606.72		546343.36	0.294085231
1383.85		546343.36	0.253292796
1465.04		546343.36	0.268153804
1423.40		546343.36	0.260531423
1511.40		546343.36	0.276640042
1619.77		546343.36	0.29647392
1468.46		546343.36	0.268780314
1598.01		546343.36	0.292491174
1423.38		546343.36	0.260528977
1784.41		546343.36	0.326609859
1492.99		546343.36	0.273268783
1450.34		546343.36	0.265462613
1634.10		546343.36	0.299097753
1499.49		546343.36	0.274458846
1556.45		546343.36	0.284885326
1527.72		546343.36	0.279626639
1536.46		546343.36	0.28122637
1570.37		546343.36	0.287433546
1506.29		546343.36	0.275704621
1664.40		546343.36	0.30464407
1456.09		546343.36	0.266514645
1675.04		546343.36	0.306591988
1569.02		546343.36	0.287185877
1562.11		546343.36	0.285920623
1514.52		546343.36	0.277210044
1633.21		546343.36	0.298934621
1535.88		546343.36	0.281120564
1589.54		546343.36	0.29094133
1707.52		546343.36	0.312536842
1539.46		546343.36	0.281775815
1672.29		546343.36	0.306087496
1719.44		546343.36	0.314717189
1738.11		546343.36	0.318135276
1713.20		546343.36	0.313574784
1735.41		546343.36	0.317640047
1732.52		546343.36	0.317112628
1672.43		546343.36	0.306113361
1710.28		546343.36	0.313042044
1611.86		546343.36	0.295027307
1826.35		546343.36	0.334286046
1730.02		546343.36	0.316653751
1768.24		546343.36	0.323650308
1875.05		546343.36	0.343199859
1834.91		546343.36	0.335852758
1832.44		546343.36	0.335400647
1835.36		546343.36	0.335934975
1719.02		546343.36	0.314641324
1717.75		546343.36	0.314407947
1652.56		546343.36	0.302475861
1827.27		546343.36	0.334454528
1681.74		546343.36	0.307818215
1703.17		546343.36	0.311739605
1757.56		546343.36	0.321695998
1684.81		546343.36	0.308379044
